,Name,Abbreviation,Population,Total_area,Land_area
0,Alabama,AL,5024279,135767,131171
1,Alaska,AK,733391,1723337,1477953
2,Arizona,AZ,7151502,295234,294207
3,Arkansas,AR,3011524,137732,134771
4,California,CA,39538223,423967,403466
5,Colorado,CO,5773714,269601,268431
6,Connecticut,CT,3605944,14357,12542
7,Delaware,DE,989948,6446,5047
8,Florida,FL,21538187,170312,138887
9,Georgia,GA,10711908,153910,148959
10,Hawaii,HI,1455271,28313,16635
11,Idaho,ID,1839106,216443,214045
12,Illinois,IL,12812508,149995,143793
13,Indiana,IN,6785528,94326,92789
14,Iowa,IA,3190369,145746,144669
15,Kansas,KS,2937880,213100,211754
16,Kentucky,KY,4505836,104656,102269
17,Louisiana,LA,4657757,135659,111898
18,Maine,ME,1362359,91633,79883
19,Maryland,MD,6177224,32131,25142
20,Massachusetts,MA,7029917,27336,20202
21,Michigan,MI,10077331,250487,146435
22,Minnesota,MN,5706494,225163,206232
23,Mississippi,MS,2961279,125438,121531
24,Missouri,MO,6154913,180540,178040
25,Montana,MT,1084225,380831,376962
26,Nebraska,NE,1961504,200330,198974
27,Nevada,NV,3104614,286380,284332
28,New Hampshire,NH,1377529,24214,23187
29,New Jersey,NJ,9288994,22591,19047
30,New Mexico,NM,2117522,314917,314161
31,New York,NY,20201249,141297,122057
32,North Carolina,NC,10439388,139391,125920
33,North Dakota,ND,779094,183108,178711
34,Ohio,OH,11799448,116098,105829
35,Oklahoma,OK,3959353,181037,177660
36,Oregon,OR,4237256,254799,248608
37,Pennsylvania,PA,13002700,119280,115883
38,Rhode Island,RI,1097379,4001,2678
39,South Carolina,SC,5118425,82933,77857
40,South Dakota,SD,886667,199729,196350
41,Tennessee,TN,6910840,109153,106798
42,Texas,TX,29145505,695662,676587
43,Utah,UT,3271616,219882,212818
44,Vermont,VT,643077,24906,23871
45,Virginia,VA,8631393,110787,102279
46,Washington,WA,7705281,184661,172119
47,West Virginia,WV,1793716,62756,62259
48,Wisconsin,WI,5893718,169635,140268
49,Wyoming,WY,576851,253335,251470
50,District of Columbia,DC,689545,68,61
51,American Samoa,AS,57400,1505,198
52,Guam,GU,161700,1478,543
53,Northern Mariana Islands,MP,52300,5117,472
54,Puerto Rico,PR,3193694,13791,8868
55,U.S. Virgin Islands,VI,103700,1898,348
56,Ontario,ON,14789778,917741,158654
57,Quebec,QC,8585523,1356128,185928
58,Nova Scotia,NS,982326,53338,1946
59,New Brunswick,NB,783721,71450,1458
60,Manitoba,MB,1382904,553556,94241
61,British Columbia,BC,5174724,925186,19549
62,Prince Edward Island,PE,160536,5660,0
63,Saskatchewan,SK,1179906,591670,59366
64,Alberta,AB,4444277,642317,19531
65,Newfoundland and Labrador,NL,520286,373872,31340
66,Northwest Territories,NT,44991,1183085,163021
67,Yukon,YT,42596,474391,8052
68,Nunavut,NU,39536,1936113,157077
